Disease Name,Cure
Apple__Apple_scab,"Fungicide Treatment (Mancozeb, Captan)"
Apple_Black_rot,Copper-based Spray & Pruning Infected Branches
Apple_Cedar_apple_rust,Fungicide (Myclobutanil) & Resistant Varieties
Apple_healthy,Regular Maintenance & Proper Irrigation
Blueberry_healthy,Balanced Fertilization & Pest Monitoring
Cherry(including_sour)Powdery_mildew,Integrated Pest & Disease Management
Cherry(including_sour)healthy,Integrated Pest & Disease Management
Corn(maize)Cercospora_leaf_spot Gray_leaf_spot,Integrated Pest & Disease Management
Corn(maize)Common_rust,Integrated Pest & Disease Management
Corn_(maize)Northern_Leaf_Blight,Integrated Pest & Disease Management
Corn(maize)healthy,Integrated Pest & Disease Management
Grape_Black_rot,Integrated Pest & Disease Management
Grape_Esca(Black_Measles),Integrated Pest & Disease Management
Grape__Leaf_blight(Isariopsis_Leaf_Spot),Integrated Pest & Disease Management
Grape__healthy,Integrated Pest & Disease Management
Orange_Haunglongbing(Citrus_greening),Integrated Pest & Disease Management
Peach__Bacterial_spot,Integrated Pest & Disease Management
Peach_healthy,Integrated Pest & Disease Management
"Pepper,_bell_Bacterial_spot",Integrated Pest & Disease Management
"Pepper,_bell_healthy",Integrated Pest & Disease Management
Potato_Early_blight,Integrated Pest & Disease Management
Potato_Late_blight,Integrated Pest & Disease Management
Potato_healthy,Integrated Pest & Disease Management
Raspberry_healthy,Integrated Pest & Disease Management
Soybean_healthy,Integrated Pest & Disease Management
Squash_Powdery_mildew,Integrated Pest & Disease Management
Strawberry_Leaf_scorch,Integrated Pest & Disease Management
Strawberry_healthy,Integrated Pest & Disease Management
Tomato_Bacterial_spot,Integrated Pest & Disease Management
Tomato_Early_blight,Integrated Pest & Disease Management
Tomato_Late_blight,Integrated Pest & Disease Management
Tomato_Leaf_Mold,Integrated Pest & Disease Management
Tomato_Septoria_leaf_spot,Integrated Pest & Disease Management
Tomato_Spider_mites Two-spotted_spider_mite,Integrated Pest & Disease Management
Tomato_Target_Spot,Integrated Pest & Disease Management
Tomato_Tomato_Yellow_Leaf_Curl_Virus,Integrated Pest & Disease Management
Tomato_Tomato_mosaic_virus,Integrated Pest & Disease Management
Tomato__healthy,Integrated Pest & Disease Management
